JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
CHAM LEK::IRGC 89387-1::[IRIS 313-12187]	IRIS 313-12187	IRGC 127255	indx
CHAO KHAW NYAO::IRGC 89460-1::[IRIS 313-12190]	IRIS 313-12190	IRGC 131975	indx
EA POUAK::IRGC 89748-1::[IRIS 313-12194]	IRIS 313-12194	IRGC 127353	ind3
SALA::IRGC 90457-1::[IRIS 313-12207]	IRIS 313-12207	IRGC 128456	indx
CHAM TON::IRGC 90600-1::[IRIS 313-12210]	IRIS 313-12210	IRGC 127257	indx
CHAO KHIE KHOUAY::IRGC 90968-1::[IRIS 313-12220]	IRIS 313-12220	IRGC 131976	indx
EA LOUY::IRGC 91220-1::[IRIS 313-12221]	IRIS 313-12221	IRGC 127351	ind3
LAM BOUN::IRGC 91525-1::[IRIS 313-12222]	IRIS 313-12222	IRGC 127548	ind3
TOUN::IRGC 92291-2::[IRIS 313-12231]	IRIS 313-12231	IRGC 128192	ind3
TE SAN AI 2::IRGC 93355-1::[IRIS 313-12232]	IRIS 313-12232	IRGC 127852	indx
ANLINGWUBAILI::IRGC 93363-1::[IRIS 313-12234]	IRIS 313-12234	IRGC 127124	ind1B
PULUT MINYAK::IRGC 93615-1::[IRIS 313-12240]	IRIS 313-12240	IRGC 132294	ind3
BANGKOUY::IRGC 94037-1::[IRIS 313-12246]	IRIS 313-12246	IRGC 127208	ind3
DAMNOEUB KRAMOUM::IRGC 94084-2::[IRIS 313-12247]	IRIS 313-12247	IRGC 128026	ind3
DAMNOUEB PHDAU PEN::IRGC 94176-1::[IRIS 313-12249]	IRIS 313-12249	IRGC 128271	ind3
RUS RUSSEI::IRGC 94341-1::[IRIS 313-12251]	IRIS 313-12251	IRGC 127772	ind3
MAYATAUNG::IRGC 95957-1::[IRIS 313-12268]	IRIS 313-12268	IRGC 127616	indx
SHWEWARHNAN::IRGC 96053-1::[IRIS 313-12269]	IRIS 313-12269	IRGC 127802	indx
TOAM JUM::IRGC 96077-1::[IRIS 313-12270]	IRIS 313-12270	IRGC 127864	indx
AIJIAONANTE::IRGC 96974-1::[IRIS 313-12273]	IRIS 313-12273	IRGC 127115	ind1A
MAGU::IRGC 97027-1::[IRIS 313-12275]	IRIS 313-12275	IRGC 127590	indx
EA KHAW NGAN::IRGC 95176-2::[IRIS 313-12260]	IRIS 313-12260	IRGC 128037	ind3
MENALAVA::IRGC 97122-1::[IRIS 313-12278]	IRIS 313-12278	IRGC 135774	ind2
MAKALIOKA::IRGC 97193-1::[IRIS 313-12280]	IRIS 313-12280	IRGC 132013	indx
TSY MILA RO::IRGC 97233-1::[IRIS 313-12282]	IRIS 313-12282	IRGC 132302	indx
VARY 5000 FOTSY::IRGC 97235-1::[IRIS 313-12283]	IRIS 313-12283	IRGC 127884	indx
EKAYIN SAW::IRGC 97468-2::[IRIS 313-12286]	IRIS 313-12286	IRGC 128038	ind3
KAUK HNYINGWA::IRGC 97487-1::[IRIS 313-12287]	IRIS 313-12287	IRGC 127501	ind3
EA TOM::IRGC 95276-1::[IRIS 313-12261]	IRIS 313-12261	IRGC 127354	ind3
NGWE TOE KYE::IRGC 97530-1::[IRIS 313-12288]	IRIS 313-12288	IRGC 128405	ind3
NGA CHEKH FAT::IRGC 97701-2::[IRIS 313-12291]	IRIS 313-12291	IRGC 132358	indx
EMAHTAKYAN::IRGC 97789-1::[IRIS 313-12292]	IRIS 313-12292	IRGC 127358	ind3
SABALINE::IRGC 98059-1::[IRIS 313-12296]	IRIS 313-12296	IRGC 127773	ind3
LOUK PASOM::IRGC 98136-1::[IRIS 313-12297]	IRIS 313-12297	IRGC 127576	indx
NGAM KON DAM::IRGC 98486-1::[IRIS 313-12300]	IRIS 313-12300	IRGC 127673	indx
LG 10178::IRGC 98526-1::[IRIS 313-12301]	IRIS 313-12301	IRGC 127556	indx
LG 4153::IRGC 98528-1::[IRIS 313-12302]	IRIS 313-12302	IRGC 127560	ind3
LG 9274::IRGC 98715-1::[IRIS 313-12303]	IRIS 313-12303	IRGC 127561	indx
PA KHENG KHAW::IRGC 98779-1::[IRIS 313-12305]	IRIS 313-12305	IRGC 127708	ind3
KHIE TOM::IRGC 95601-1::[IRIS 313-12263]	IRIS 313-12263	IRGC 127521	ind3
SAM SI::IRGC 99020-1::[IRIS 313-12308]	IRIS 313-12308	IRGC 127782	ind3
PSBRC 18::IRGC 99639-1::[IRIS 313-12319]	IRIS 313-12319	IRGC 127743	ind1B
DISSI::IRGC 101346-1::[IRIS 313-12325]	IRIS 313-12325	IRGC 127321	ind2
CHAO DO::IRGC 106666-1::[IRIS 313-12329]	IRIS 313-12329	IRGC 128258	indx
VIENG::IRGC 107375-2::[IRIS 313-12345]	IRIS 313-12345	IRGC 128201	subtrop
NASAENG::IRGC 107818-1::[IRIS 313-12354]	IRIS 313-12354	IRGC 127649	indx
NASAENG::IRGC 107819-1::[IRIS 313-12355]	IRIS 313-12355	IRGC 127650	indx
CASIBON::IRGC 589-2::[IRIS 313-10441]	IRIS 313-10441	IRGC 132327	indx
SERAUP 50::IRGC 14-1::[IRIS 313-10428]	IRIS 313-10428		ind3
BINOLAYANGUN::IRGC 791-2::[IRIS 313-10448]	IRIS 313-10448	IRGC 127996	ind3
CHAN KU::IRGC 1069-1::[IRIS 313-10450]	IRIS 313-10450	IRGC 127258	ind1A
LING TA 150::IRGC 1106-1::[IRIS 313-10452]	IRIS 313-10452	IRGC 127565	ind1A
P 168::IRGC 1354-1::[IRIS 313-10458]	IRIS 313-10458	IRGC 127695	ind1A
PACHCHAIPERUMAL 2462-11::IRGC 3474-1::[IRIS 313-10476]	IRIS 313-10476	IRGC 127698	ind2
RUSTY LATE::IRGC 3506-1::[IRIS 313-10477]	IRIS 313-10477	IRGC 128454	indx
PULUT NANGKA 16::IRGC 3630-2::[IRIS 313-10480]	IRIS 313-10480	IRGC 132365	indx
TP MIL 53::IRGC 326-2::[IRIS 313-10433]	IRIS 313-10433	IRGC 128193	indx
CE IN TSAN::IRGC 4362-1::[IRIS 313-10497]	IRIS 313-10497	IRGC 127249	ind1A
TON ROO SHUN::IRGC 4572-1::[IRIS 313-10502]	IRIS 313-10502	IRGC 127865	ind1A
HA GOO::IRGC 4577-1::[IRIS 313-10503]	IRIS 313-10503	IRGC 127398	ind1A
HSIEH DAU::IRGC 4727-1::[IRIS 313-10504]	IRIS 313-10504	IRGC 127419	ind1A
PARN A 191::IRGC 4932-1::[IRIS 313-10506]	IRIS 313-10506		ind3
AMBARIKORI::IRGC 5132-1::[IRIS 313-10509]	IRIS 313-10509	IRGC 127120	ind3
MAGSIING::IRGC 5211-1::[IRIS 313-10510]	IRIS 313-10510	IRGC 127589	indx
MACAN SAPAC::IRGC 5212-2::[IRIS 313-10511]	IRIS 313-10511	IRGC 128101	ind3
CAMPENA::IRGC 5452-2::[IRIS 313-10514]	IRIS 313-10514	IRGC 135629	indx
TAICHUNG WOO GEN 2::IRGC 5525-1::[IRIS 313-10515]	IRIS 313-10515	IRGC 127836	ind1A
O. SATIVA::IRGC 5779-1::[IRIS 313-10516]	IRIS 313-10516	IRGC 127689	indx
KHAYANGYA D 34-181::IRGC 5861-2::[IRIS 313-10518]	IRIS 313-10518	IRGC 128088	indx
GAMTI 1-34::IRGC 6479-2::[IRIS 313-10536]	IRIS 313-10536	IRGC 128041	ind2
BADAL 76::IRGC 6586-1::[IRIS 313-10539]	IRIS 313-10539	IRGC 127199	ind2
C 34-13::IRGC 6797-2::[IRIS 313-10547]	IRIS 313-10547	IRGC 128007	indx
221 BC 4-1-45-10::IRGC 6865-1::[IRIS 313-10550]	IRIS 313-10550	IRGC 135561	indx
BONG SEN::IRGC 7011-1::[IRIS 313-10554]	IRIS 313-10554	IRGC 127235	ind3
LUA HUONG T 1::IRGC 7082-2::[IRIS 313-10555]	IRIS 313-10555	IRGC 128098	ind3
LUA DEN MUA::IRGC 7185-1::[IRIS 313-10556]	IRIS 313-10556	IRGC 135770	ind3
KONG MARETH 4 T 1::IRGC 7248-1::[IRIS 313-10557]	IRIS 313-10557	IRGC 135764	ind3
TA PAI MAUNG::IRGC 7292-1::[IRIS 313-10560]	IRIS 313-10560	IRGC 127848	ind1A
221 B 36-1-1-1-1::IRGC 7585-1::[IRIS 313-10565]	IRIS 313-10565	IRGC 127098	indx
221 C 391-1-3-3::IRGC 7600-1::[IRIS 313-10566]	IRIS 313-10566	IRGC 127099	indx
KHAO BAI SRI::IRGC 6110-2::[IRIS 313-10524]	IRIS 313-10524		ind3
KOTHMALLI KARUPPAN::IRGC 7842-1::[IRIS 313-10572]	IRIS 313-10572	IRGC 127533	indx
KAILUNDO::IRGC 7859-2::[IRIS 313-10574]	IRIS 313-10574	IRGC 132253	indx
KAYANGYA D 402::IRGC 7927-2::[IRIS 313-10575]	IRIS 313-10575	IRGC 128074	indx
BAANYALOJOPOIHUN::IRGC 7928-2::[IRIS 313-10576]	IRIS 313-10576	IRGC 127979	ind2
BANDANG PUTIH 680::IRGC 6133-2::[IRIS 313-10525]	IRIS 313-10525	IRGC 132246	ind3
UKON NISHIKI::IRGC 8314-1::[IRIS 313-10585]	IRIS 313-10585	IRGC 128494	admix
DB 3::IRGC 8361-1::[IRIS 313-10587]	IRIS 313-10587	IRGC 127308	aus
DV 110::IRGC 8855-1::[IRIS 313-10606]	IRIS 313-10606	IRGC 127346	aus
MATHOLUWA::IRGC 8901-1::[IRIS 313-10609]	IRIS 313-10609	IRGC 127612	indx
ALAGUSAMBA::IRGC 8944-2::[IRIS 313-10610]	IRIS 313-10610	IRGC 132315	ind2
HAM MOON::IRGC 9135-2::[IRIS 313-10614]	IRIS 313-10614	IRGC 128049	indx
O. SATIVA::IRGC 10164-2::[IRIS 313-10628]	IRIS 313-10628	IRGC 132361	ind2
SR 26 B::IRGC 10803-2::[IRIS 313-10640]	IRIS 313-10640	IRGC 128169	ind2
PREAH SIHANOUK::IRGC 11328-2::[IRIS 313-10648]	IRIS 313-10648	IRGC 132364	ind3
NAHNG PRAYAH 132::IRGC 11470-1::[IRIS 313-10650]	IRIS 313-10650		ind3
CHAO PEUAK DENG::IRGC 11602-1::[IRIS 313-10652]	IRIS 313-10652	IRGC 127268	ind3
KA SAEN::IRGC 11642-1::[IRIS 313-10654]	IRIS 313-10654	IRGC 128335	ind3
EA HOUM::IRGC 11783-1::[IRIS 313-10655]	IRIS 313-10655	IRGC 128285	indx
LONG MA::IRGC 11867-1::[IRIS 313-10659]	IRIS 313-10659	IRGC 127574	ind3
SAMBA::IRGC 11993-1::[IRIS 313-10661]	IRIS 313-10661	IRGC 127781	ind2
ARC 7255::IRGC 12343-2::[IRIS 313-10668]	IRIS 313-10668	IRGC 127974	indx
ARC 10846::IRGC 12656-2::[IRIS 313-10674]	IRIS 313-10674	IRGC 127932	indx
ARC 10905::IRGC 12669-1::[IRIS 313-10675]	IRIS 313-10675	IRGC 127132	indx
ARC 10916::IRGC 12673-1::[IRIS 313-10676]	IRIS 313-10676	IRGC 127133	admix
MAKALIOKA::IRGC 12781-2::[IRIS 313-10678]	IRIS 313-10678	IRGC 132353	ind2
MAK NAM::IRGC 12940-2::[IRIS 313-10680]	IRIS 313-10680	IRGC 132354	ind3
KHAN THAI DO::IRGC 12990-1::[IRIS 313-10681]	IRIS 313-10681	IRGC 128338	ind3
PA KHENG::IRGC 12996-1::[IRIS 313-10682]	IRIS 313-10682	IRGC 127707	ind3
NGAN TIA::IRGC 13010-1::[IRIS 313-10683]	IRIS 313-10683	IRGC 127674	ind3
BONGOLON::IRGC 13094-1::[IRIS 313-10684]	IRIS 313-10684	IRGC 135740	ind3
PADI PULUT::IRGC 13444-1::[IRIS 313-10687]	IRIS 313-10687		ind3
PADI TIMBUN::IRGC 13451-1::[IRIS 313-10688]	IRIS 313-10688	IRGC 135782	ind3
LARONDJAWI::IRGC 13571-2::[IRIS 313-10690]	IRIS 313-10690	IRGC 132350	ind3
RANDAH SASAK::IRGC 13652-2::[IRIS 313-10692]	IRIS 313-10692	IRGC 132367	ind3
TOLIL 14::IRGC 13836-2::[IRIS 313-10695]	IRIS 313-10695	IRGC 128191	ind3
SIAM ER 16::IRGC 13910-2::[IRIS 313-10697]	IRIS 313-10697		ind3
RADIN GOI::IRGC 13969-1::[IRIS 313-10698]	IRIS 313-10698	IRGC 127759	ind3
BUJANG::IRGC 14040-1::[IRIS 313-10699]	IRIS 313-10699		ind3
CHANTEK 145::IRGC 14045-1::[IRIS 313-10700]	IRIS 313-10700		ind3
RADIN EBOS 35::IRGC 14204-1::[IRIS 313-10701]	IRIS 313-10701		ind3
JAROM EMAS::IRGC 14272-1::[IRIS 313-10702]	IRIS 313-10702		ind3
ANAK CHINA::IRGC 14479-1::[IRIS 313-10706]	IRIS 313-10706		ind3
ANAK DIDEK::IRGC 14491-1::[IRIS 313-10707]	IRIS 313-10707		ind3
VELLAI KOLOMBAN::IRGC 15517-1::[IRIS 313-10719]	IRIS 313-10719	IRGC 127886	ind2
HEENDIKWEE::IRGC 15587-2::[IRIS 313-10720]	IRIS 313-10720	IRGC 132337	indx
HALSUDU HEENATI::IRGC 15599-1::[IRIS 313-10721]	IRIS 313-10721	IRGC 127401	ind2
MOND BA::IRGC 15813-2::[IRIS 313-10723]	IRIS 313-10723	IRGC 128111	ind2
MOUSOIR::IRGC 15866-1::[IRIS 313-10724]	IRIS 313-10724		ind3
ERNEST::IRGC 15884-2::[IRIS 313-10725]	IRIS 313-10725	IRGC 128518	indx
POTO BALA::IRGC 15986-2::[IRIS 313-10726]	IRIS 313-10726	IRGC 128139	ind3
OUSSANTHIABA::IRGC 16046-2::[IRIS 313-10728]	IRIS 313-10728	IRGC 132261	indx
MOTANGE PAHELLO LAULE::IRGC 16160-1::[IRIS 313-10733]	IRIS 313-10733	IRGC 127634	indx
MAMAS::IRGC 16503-1::[IRIS 313-10742]	IRIS 313-10742	IRGC 127600	ind3
LUA DUC::IRGC 16718-1::[IRIS 313-10748]	IRIS 313-10748	IRGC 127578	indx
MINH SOC (CAMBODIA)::IRGC 16731-2::[IRIS 313-10749]	IRIS 313-10749		ind3
LUA CHUM::IRGC 16840-1::[IRIS 313-10751]	IRIS 313-10751	IRGC 127577	indx
ZACATEPEC::IRGC 16901-2::[IRIS 313-10753]	IRIS 313-10753	IRGC 128205	ind1B
KH 998::IRGC 16948-2::[IRIS 313-10754]	IRIS 313-10754	IRGC 128081	indx
NEP BA BONG TO::IRGC 17005-2::[IRIS 313-10755]	IRIS 313-10755	IRGC 128116	ind3
DAMODAR::IRGC 17038-1::[IRIS 313-10756]	IRIS 313-10756	IRGC 127299	ind2
PEUAK NAM 43::IRGC 17129-1::[IRIS 313-10757]	IRIS 313-10757		ind3
ATJEH::IRGC 17174-1::[IRIS 313-10760]	IRIS 313-10760		ind3
BANDI::IRGC 17214-1::[IRIS 313-10762]	IRIS 313-10762	IRGC 127207	ind3
GAJA BARU::IRGC 17586-1::[IRIS 313-10769]	IRIS 313-10769	IRGC 127375	indx
HEGAR MANAH::IRGC 17733-1::[IRIS 313-10774]	IRIS 313-10774	IRGC 127404	indx
KENTJANA MAHANG::IRGC 17818-1::[IRIS 313-10778]	IRIS 313-10778		ind3
KERAN DUKUH::IRGC 17822-2::[IRIS 313-10779]	IRIS 313-10779	IRGC 128521	ind3
KETAN NARIS::IRGC 17925-2::[IRIS 313-10782]	IRIS 313-10782	IRGC 128078	ind3
SUDU KARAYAL::IRGC 15348-1::[IRIS 313-10715]	IRIS 313-10715	IRGC 127827	ind2
MATIANG::IRGC 18220-1::[IRIS 313-10792]	IRIS 313-10792	IRGC 127613	ind3
MURUNGA::IRGC 15428-1::[IRIS 313-10716]	IRIS 313-10716	IRGC 127640	ind2
NARUN::IRGC 18320-2::[IRIS 313-10797]	IRIS 313-10797	IRGC 132357	ind3
SEGON BENGGALA::IRGC 18724-1::[IRIS 313-10810]	IRIS 313-10810	IRGC 135793	ind3
SEMPOR::IRGC 18761-2::[IRIS 313-10811]	IRIS 313-10811	IRGC 128160	indx
SERUNEN::IRGC 18789-1::[IRIS 313-10812]	IRIS 313-10812	IRGC 135794	ind3
SIAM BARABAI::IRGC 18800-2::[IRIS 313-10813]	IRIS 313-10813		ind3
SIBORAS::IRGC 18816-2::[IRIS 313-10814]	IRIS 313-10814	IRGC 128163	ind3
TJERE ENER::IRGC 19103-1::[IRIS 313-10819]	IRIS 313-10819	IRGC 127860	ind3
TJERE MANGGA::IRGC 19116-2::[IRIS 313-10820]	IRIS 313-10820	IRGC 128189	ind3
TJ PERAK::IRGC 19141-1::[IRIS 313-10821]	IRIS 313-10821	IRGC 127862	ind3
UNGGAS::IRGC 19176-2::[IRIS 313-10822]	IRIS 313-10822	IRGC 128199	ind3
UTRI DELI::IRGC 19182-1::[IRIS 313-10823]	IRIS 313-10823	IRGC 127880	ind3
HOING CANTEL::IRGC 19282-2::[IRIS 313-10824]	IRIS 313-10824	IRGC 128053	ind3
KEMA 5::IRGC 19343-2::[IRIS 313-10825]	IRIS 313-10825	IRGC 132310	indx
EDAKKADAN 0-69-27::IRGC 19560-1::[IRIS 313-10833]	IRIS 313-10833	IRGC 127355	ind2
PERUNEL 0-69-18::IRGC 19581-1::[IRIS 313-10835]	IRIS 313-10835	IRGC 127727	ind2
VELLA PERUVAZHA 0-68-12::IRGC 19588-1::[IRIS 313-10836]	IRIS 313-10836	IRGC 127887	ind2
PUAK::IRGC 18512-1::[IRIS 313-10804]	IRIS 313-10804	IRGC 135787	ind3
LUBUK LINGGAU::IRGC 20000-2::[IRIS 313-10842]	IRIS 313-10842	IRGC 128099	ind3
INDO NO 7505::IRGC 20162-2::[IRIS 313-10844]	IRIS 313-10844	IRGC 128058	ind3
ARC 6015::IRGC 20314-2::[IRIS 313-10847]	IRIS 313-10847	IRGC 127972	indx
ARC 6188::IRGC 20370-1::[IRIS 313-10848]	IRIS 313-10848	IRGC 131968	subtrop
ARC 10159::IRGC 20754-2::[IRIS 313-10855]	IRIS 313-10855	IRGC 132316	ind2
ARC 10894::IRGC 21122-1::[IRIS 313-10858]	IRIS 313-10858	IRGC 127131	indx
RADEN DJAWA (GUNDIL)::IRGC 18558-1::[IRIS 313-10806]	IRIS 313-10806	IRGC 135789	ind3
ARC 11322::IRGC 21315-2::[IRIS 313-10863]	IRIS 313-10863	IRGC 127937	ind2
RANDA KUNING::IRGC 18595-1::[IRIS 313-10807]	IRIS 313-10807		ind3
ARC 11822::IRGC 21677-1::[IRIS 313-10873]	IRIS 313-10873	IRGC 127140	aus
ARC 12655::IRGC 22226-2::[IRIS 313-10886]	IRIS 313-10886	IRGC 132240	subtrop
ARC 12867::IRGC 22401-1::[IRIS 313-10891]	IRIS 313-10891	IRGC 127148	aus
ARC 13204::IRGC 22558-1::[IRIS 313-10894]	IRIS 313-10894	IRGC 127150	admix
KHSAY VENG::IRGC 22915-1::[IRIS 313-10903]	IRIS 313-10903	IRGC 135762	ind3
KREM KRAHAM::IRGC 22981-2::[IRIS 313-10904]	IRIS 313-10904	IRGC 128091	ind3
KUOL DAUN THNONG::IRGC 22986-1::[IRIS 313-10905]	IRIS 313-10905		ind3
LUA NEP 4416::IRGC 23006-1::[IRIS 313-10906]	IRIS 313-10906		ind3
MOROM::IRGC 23016-2::[IRIS 313-10908]	IRIS 313-10908	IRGC 128112	ind3
NEANG CHAN::IRGC 23034-1::[IRIS 313-10909]	IRIS 313-10909	IRGC 135776	ind3
NEANG MAC::IRGC 23071-1::[IRIS 313-10910]	IRIS 313-10910	IRGC 135777	ind3
NEANG NARY::IRGC 23084-1::[IRIS 313-10911]	IRIS 313-10911		ind3
NEANG SAATH K 45::IRGC 23109-2::[IRIS 313-10912]	IRIS 313-10912		ind3
PHAT PRORMOL::IRGC 23143-1::[IRIS 313-10913]	IRIS 313-10913		ind3
PHCAR SLA KI::IRGC 23169-2::[IRIS 313-10915]	IRIS 313-10915	IRGC 128133	ind3
T Q QI HAYUQBABA::IRGC 23318-1::[IRIS 313-10917]	IRIS 313-10917	IRGC 128489	indx
KHAO PHAE HOM::IRGC 23518-2::[IRIS 313-10921]	IRIS 313-10921	IRGC 132427	indx
ARC 13276::IRGC 22622-2::[IRIS 313-10896]	IRIS 313-10896	IRGC 127946	admix
KAMULI::IRGC 23928-1::[IRIS 313-10925]	IRIS 313-10925	IRGC 127485	aus
RAM SALEE KATAKA::IRGC 24014-1::[IRIS 313-10926]	IRIS 313-10926	IRGC 127761	aro
KHAO' SIM::IRGC 24094-1::[IRIS 313-10928]	IRIS 313-10928	IRGC 128342	ind3
KOLONGI BAO::IRGC 24135-2::[IRIS 313-10929]	IRIS 313-10929	IRGC 128090	ind2
PAH PIANG::IRGC 24452-2::[IRIS 313-10934]	IRIS 313-10934	IRGC 128125	ind3
BRONDOL PUTIH::IRGC 24541-1::[IRIS 313-10935]	IRIS 313-10935	IRGC 127238	ind3
SIGUPAI::IRGC 24642-2::[IRIS 313-10938]	IRIS 313-10938		ind3
SINTHA::IRGC 24687-1::[IRIS 313-10941]	IRIS 313-10941	IRGC 127809	indx
BANDANG BUNGKUAKLAN::IRGC 24697-2::[IRIS 313-10942]	IRIS 313-10942	IRGC 127987	ind3
PADI BENOT::IRGC 24757-2::[IRIS 313-10943]	IRIS 313-10943	IRGC 135631	ind3
SIPULUT SUBANG::IRGC 24824-2::[IRIS 313-10944]	IRIS 313-10944	IRGC 132269	ind3
NANE::IRGC 25035-1::[IRIS 313-10947]	IRIS 313-10947	IRGC 127643	ind3
JENDA ABANG::IRGC 25413-2::[IRIS 313-10951]	IRIS 313-10951	IRGC 128062	ind3
PADI GRUNDUL 1::IRGC 25493-1::[IRIS 313-10954]	IRIS 313-10954	IRGC 127700	ind3
PADI PUYUH::IRGC 25532-1::[IRIS 313-10955]	IRIS 313-10955	IRGC 127702	ind3
TARING PELUNDUK::IRGC 25821-2::[IRIS 313-10961]	IRIS 313-10961		ind3
TERUNG DAUN::IRGC 25823-2::[IRIS 313-10962]	IRIS 313-10962	IRGC 128182	ind3
SADUMONI::IRGC 25919-1::[IRIS 313-10964]	IRIS 313-10964	IRGC 127777	aus
HURANG ARISO LUTA::IRGC 26055-1::[IRIS 313-10966]	IRIS 313-10966	IRGC 127424	indx
IH PEN SHIM MING::IRGC 26067-1::[IRIS 313-10968]	IRIS 313-10968	IRGC 127428	ind1A
NANG SAU DO::IRGC 26243-1::[IRIS 313-10970]	IRIS 313-10970		ind3
BADAL::IRGC 26290-2::[IRIS 313-10971]	IRIS 313-10971	IRGC 127981	ind2
DUDA MONOR::IRGC 26335-2::[IRIS 313-10972]	IRIS 313-10972	IRGC 128033	ind2
DAMNOEUB THPOIL HING::IRGC 22856-2::[IRIS 313-10901]	IRIS 313-10901	IRGC 128027	ind3
KALA DIGHA::IRGC 26367-2::[IRIS 313-10973]	IRIS 313-10973	IRGC 128064	ind2
KAMRANGA::IRGC 26373-2::[IRIS 313-10974]	IRIS 313-10974	IRGC 128070	ind2
MATI CHAL::IRGC 26399-2::[IRIS 313-10977]	IRIS 313-10977	IRGC 128107	ind2
PANI TORONG::IRGC 26411-1::[IRIS 313-10978]	IRIS 313-10978	IRGC 127713	indx
DUDHSAR::IRGC 26458-1::[IRIS 313-10980]	IRIS 313-10980	IRGC 127344	admix
LUDI GOCHYA::IRGC 26504-2::[IRIS 313-10982]	IRIS 313-10982	IRGC 128100	ind2
KAMPING POUY::IRGC 22876-2::[IRIS 313-10902]	IRIS 313-10902		ind3
BOROJYOT::IRGC 26578-2::[IRIS 313-10983]	IRIS 313-10983	IRGC 128000	indx
DUDHSAR::IRGC 26609-2::[IRIS 313-10984]	IRIS 313-10984	IRGC 128034	ind2
BAKASI::IRGC 27074-1::[IRIS 313-10996]	IRIS 313-10996	IRGC 127204	indx
KETAN RASO::IRGC 27154-1::[IRIS 313-10998]	IRIS 313-10998		indx
MAIRUL::IRGC 27170-1::[IRIS 313-11000]	IRIS 313-11000	IRGC 127591	ind3
CO 36::IRGC 26847-2::[IRIS 313-10988]	IRIS 313-10988	IRGC 132422	indx
PULU RENNI::IRGC 27386-1::[IRIS 313-11006]	IRIS 313-11006	IRGC 127747	ind3
PULUT PUTIH::IRGC 27426-1::[IRIS 313-11010]	IRIS 313-11010	IRGC 127750	ind3
HANPA::IRGC 27547-2::[IRIS 313-11015]	IRIS 313-11015	IRGC 128050	aus
GUTTI AKKULLU::IRGC 26850-2::[IRIS 313-10989]	IRIS 313-10989	IRGC 128046	ind2
BALIBUD::IRGC 26871-1::[IRIS 313-10990]	IRIS 313-10990	IRGC 127206	indx
MOTIA::IRGC 28036-1::[IRIS 313-11028]	IRIS 313-11028	IRGC 128393	aus
NAWAN SATHRA BAGAR 344::IRGC 28079-1::[IRIS 313-11031]	IRIS 313-11031	IRGC 128403	aus
PALAM PURI BAS 137::IRGC 28084-1::[IRIS 313-11032]	IRIS 313-11032	IRGC 127710	aro
KWANG LU AI 4::IRGC 28480-2::[IRIS 313-11039]	IRIS 313-11039	IRGC 128093	ind1A
KAVIVARI SAMBA::IRGC 28597-2::[IRIS 313-11040]	IRIS 313-11040		indx
VELLAIKOTTAI::IRGC 28618-1::[IRIS 313-11042]	IRIS 313-11042		indx
BENGKA KERSEK::IRGC 28666-1::[IRIS 313-11043]	IRIS 313-11043		ind3
AUS 449::IRGC 29230-1::[IRIS 313-11061]	IRIS 313-11061	IRGC 127190	aus
KALIBORO 600::IRGC 29367-1::[IRIS 313-11067]	IRIS 313-11067	IRGC 127481	aus
KHAO MAK KHAM::IRGC 29533-1::[IRIS 313-11074]	IRIS 313-11074		ind3
ASE BAKKA LOMPO::IRGC 26988-2::[IRIS 313-10995]	IRIS 313-10995	IRGC 127976	ind3
NON HAI::IRGC 29636-2::[IRIS 313-11078]	IRIS 313-11078	IRGC 132359	indx
PHAN PHAE::IRGC 29652-2::[IRIS 313-11079]	IRIS 313-11079	IRGC 128132	ind3
PHAE MEUN LAN::IRGC 29660-1::[IRIS 313-11080]	IRIS 313-11080	IRGC 128430	ind3
SRAU THMOR::IRGC 29904-1::[IRIS 313-11089]	IRIS 313-11089	IRGC 127824	ind3
CADUNG SO BLOC 1::IRGC 30231-1::[IRIS 313-11096]	IRIS 313-11096	IRGC 135743	ind3
KALAGNON::IRGC 30335-1::[IRIS 313-11097]	IRIS 313-11097	IRGC 127478	indx
KOLUBA::IRGC 30463-1::[IRIS 313-11098]	IRIS 313-11098	IRGC 134993	ind3
THAO LOUANG::IRGC 29688-2::[IRIS 313-11081]	IRIS 313-11081	IRGC 128184	ind3
PECALO::IRGC 30595-2::[IRIS 313-11099]	IRIS 313-11099		ind2
Y 115::IRGC 30856-2::[IRIS 313-11101]	IRIS 313-11101	IRGC 128202	indx
B 12::IRGC 31293-1::[IRIS 313-11108]	IRIS 313-11108	IRGC 127194	ind3
SAYAM::IRGC 31538-2::[IRIS 313-11110]	IRIS 313-11110	IRGC 128159	ind2
KAL SHULI::IRGC 31665-2::[IRIS 313-11113]	IRIS 313-11113	IRGC 128069	ind2
KALA MUNA::IRGC 31832-2::[IRIS 313-11115]	IRIS 313-11115	IRGC 128066	ind2
SOC NAU (BIEN THE)::IRGC 32074-1::[IRIS 313-11118]	IRIS 313-11118	IRGC 135797	ind3
EA TIA::IRGC 29713-2::[IRIS 313-11083]	IRIS 313-11083	IRGC 132248	ind3
NEP BUNG::IRGC 32207-1::[IRIS 313-11119]	IRIS 313-11119		indx
ANBAW::IRGC 32932-2::[IRIS 313-11126]	IRIS 313-11126	IRGC 127926	indx
BUBAW::IRGC 32989-2::[IRIS 313-11127]	IRIS 313-11127	IRGC 132307	subtrop
GOKAUNG::IRGC 33079-2::[IRIS 313-11128]	IRIS 313-11128	IRGC 128045	indx
