JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
KABADOKA::IRGC 17775-2::[IRIS 313-10776]	IRIS 313-10776	IRGC 132343	trop
KETAN MLANTING::IRGC 17916-1::[IRIS 313-10781]	IRIS 313-10781	IRGC 127506	trop
KETAN SLAWI::IRGC 17963-1::[IRIS 313-10785]	IRIS 313-10785	IRGC 127510	trop
MENDUNGAN::IRGC 18245-1::[IRIS 313-10794]	IRIS 313-10794	IRGC 127624	trop
MLATI::IRGC 18278-1::[IRIS 313-10795]	IRIS 313-10795	IRGC 128389	trop
NOGO BELE 2::IRGC 18328-2::[IRIS 313-10798]	IRIS 313-10798	IRGC 135640	trop
PALOTAN MELATI::IRGC 18426-2::[IRIS 313-10800]	IRIS 313-10800	IRGC 128127	trop
PULO::IRGC 18519-1::[IRIS 313-10805]	IRIS 313-10805	IRGC 127746	trop
ARC 10028::IRGC 20656-2::[IRIS 313-10853]	IRIS 313-10853	IRGC 132239	japx
ARC 11338::IRGC 21329-1::[IRIS 313-10864]	IRIS 313-10864	IRGC 127136	admix
ARC 12730::IRGC 22291-1::[IRIS 313-10889]	IRIS 313-10889		subtrop
ARC 13257::IRGC 22608-1::[IRIS 313-10895]	IRIS 313-10895	IRGC 127151	subtrop
PUTUS TOLO::IRGC 25636-2::[IRIS 313-10956]	IRIS 313-10956	IRGC 128144	trop
PAEDAI SOBUDI::IRGC 27222-1::[IRIS 313-11001]	IRIS 313-11001	IRGC 128421	trop
PAE SANGGULA::IRGC 27297-1::[IRIS 313-11004]	IRIS 313-11004	IRGC 128423	trop
PULUT BONGO::IRGC 27397-2::[IRIS 313-11007]	IRIS 313-11007	IRGC 128141	trop
PILIT TAPUL::IRGC 26887-1::[IRIS 313-10992]	IRIS 313-10992	IRGC 127730	trop
LANNAB::IRGC 26936-2::[IRIS 313-10993]	IRIS 313-10993	IRGC 132349	trop
NIAW KHAMIN::IRGC 40222-1::[IRIS 313-11248]	IRIS 313-11248	IRGC 127676	trop
AMERICAN HUANGKEDAO::[B018]	B018	IRGC 135827	trop
80A97YR303-304-1-3::[B053]	B053	IRGC 135819	trop
LAMUJIA::[B241]	B241		subtrop
KINANDANGPATONG::[CX248]	CX248	IRGC 135970	trop
PELDE::GERVEX 502-C1::[IRIS 313-8076]	IRIS 313-8076	IRGC 122198	trop
LACASSINE::GERVEX 1660-C1::[IRIS 313-8193]	IRIS 313-8193	IRGC 122146	trop
CT 58::GERVEX 1491-C1::[IRIS 313-8160]	IRIS 313-8160	IRGC 122024	temp
DUNA AL::IRGC 71842-1::[IRIS 313-11851]	IRIS 313-11851	IRGC 135565	trop
KOMPIT::IRGC 73716-1::[IRIS 313-11903]	IRIS 313-11903	IRGC 128351	trop
HAI NA::IRGC 107117-1::[IRIS 313-12342]	IRIS 313-12342	IRGC 127399	subtrop
KETAN PAPAH AREN::IRGC 16467-1::[IRIS 313-10740]	IRIS 313-10740	IRGC 127508	trop
80050YR72136-43::[B054]	B054	IRGC 135817	trop
80A60YR71009-1-5::[B191]	B191	IRGC 135818	trop
IAC3::[CX262]	CX262	IRGC 135912	trop
COLOMBIA XXI::G1::[IRIS 313-15908]	IRIS 313-15908	IRGC 126955	aus
IET 14720::IRTP 23179-G1::[IRIS 313-15909]	IRIS 313-15909	IRGC 126958	aro
DOM ZARD::[IRIS 313-8747]	IRIS 313-8747	IRGC 117466	aro
JC 157::[IRIS 313-9629]	IRIS 313-9629	IRGC 117498	aro
JAGLI BORO::IRGC 27516-2::[IRIS 313-8252]	IRIS 313-8252	IRGC 121233	aus
BHADOIA 303::IRGC 6588-1::[IRIS 313-8321]	IRIS 313-8321	IRGC 120894	aus
SUFAID 246::IRGC 28303-1::[IRIS 313-8390]	IRIS 313-8390	IRGC 121128	aus
KHARSU 80::IRGC 28016-1::[IRIS 313-8398]	IRIS 313-8398	IRGC 121022	aus
JABOR SAIL::IRGC 66831-1::[IRIS 313-8410]	IRIS 313-8410	IRGC 121618	aus
ARC 11959::IRGC 21780-1::[IRIS 313-8554]	IRIS 313-8554	IRGC 121188	aus
CHUNGUR BALI::IRGC 25855-1::[IRIS 313-9422]	IRIS 313-9422	IRGC 120915	aus
KALIA::IRGC 34699-1::[IRIS 313-9626]	IRIS 313-9626	IRGC 121005	aus
PODI HEENATI::IRGC 36345-1::[IRIS 313-9636]	IRIS 313-9636	IRGC 121473	aus
LENJA MURALI::IRGC 66815-1::[IRIS 313-9661]	IRIS 313-9661	IRGC 121038	aus
HODARAWALA::IRGC 67631-1::[IRIS 313-10020]	IRIS 313-10020	IRGC 120968	aus
POENOET HITAM::IRGC 8193-1::[IRIS 313-8324]	IRIS 313-8324	IRGC 121474	admix
SITORU::IRGC 66669-1::[IRIS 313-8664]	IRIS 313-8664		trop
JC 1::[IRIS 313-8326]	IRIS 313-8326	IRGC 117494	aro
BERENJ 1277 S::IRGC 3461-1::[IRIS 313-9783]	IRIS 313-9783	IRGC 121902	admix
KURULU WEE (WHITE)::IRGC 66518-1::[IRIS 313-8342]	IRIS 313-8342	IRGC 121029	aus
LALSAITA::IRGC 43915-1::[IRIS 313-8789]	IRIS 313-8789	IRGC 121036	aus
NOROI::IRGC 31611-1::[IRIS 313-8864]	IRIS 313-8864	IRGC 121069	aus
MUTTU SAMBA::IRGC 36333-1::[IRIS 313-9039]	IRIS 313-9039	IRGC 121441	ind2
N 22::IRGC 46459-1::[IRIS 313-10150]	IRIS 313-10150	IRGC 126249	aus
PARA NELLU::IRGC 50009-1::[IRIS 313-9351]	IRIS 313-9351	IRGC 125868	ind2
KOYRA::IRGC 77267-1::[IRIS 313-8283]	IRIS 313-8283	IRGC 121026	aus
AUS 439::IRGC 29221-1::[IRIS 313-8641]	IRIS 313-8641	IRGC 120876	aus
JAMBALI::IRGC 73101-1::[IRIS 313-9449]	IRIS 313-9449	IRGC 120996	aus
BEGUM::IRGC 33990-1::[IRIS 313-9641]	IRIS 313-9641	IRGC 125602	aus
KELIRENY::IRGC 78426-1::[IRIS 313-10102]	IRIS 313-10102	IRGC 127056	ind2
CO 39::[IRIS 313-8265]	IRIS 313-8265	IRGC 117454	indx
IR 2071-586-5-6-3::IRGC 39291-1::[IRIS 313-9044]	IRIS 313-9044	IRGC 125971	ind1B
GERDEH::[IRIS 313-8256]	IRIS 313-8256	IRGC 117474	japx
JC 149::[IRIS 313-8385]	IRIS 313-8385	IRGC 117497	aro
TIMMURAY::IRGC 67857-1::[IRIS 313-8765]	IRIS 313-8765	IRGC 126284	aro
TK DEEP STRAW 34-786::IRGC 38522-1::[IRIS 313-9170]	IRIS 313-9170		aro
TK RED 35-799::IRGC 38535-1::[IRIS 313-9682]	IRIS 313-9682	IRGC 135548	aro
BASMATI 1::IRGC 27798-1::[IRIS 313-8656]	IRIS 313-8656	IRGC 126046	aro
KURKARUPPAN::IRGC 15449-1::[IRIS 313-9861]	IRIS 313-9861		aus
